Student_ID,Hours_Studied,Attendance,Assignment_Score,Previous_Result,Final_Result
72230,6,99,85,Pass,Pass
53592,5,87,68,Fail,Pass
21912,9,79,65,Fail,Pass
76933,8,41,52,Fail,Pass
13964,1,80,56,Fail,Fail
60816,8,51,99,Fail,Pass
92699,4,76,64,Pass,Pass
48912,6,79,92,Fail,Pass
87313,7,94,86,Pass,Pass
34669,2,99,51,Fail,Pass
60742,8,67,95,Fail,Pass
89173,9,81,70,Pass,Pass
69108,7,40,90,Fail,Pass
61959,2,48,62,Fail,Fail
34246,3,43,74,Pass,Pass
27177,9,61,81,Fail,Pass
93865,1,87,90,Fail,Pass
98822,5,68,51,Pass,Pass
16682,3,62,60,Fail,Pass
13849,1,68,49,Fail,Fail
76070,8,93,31,Fail,Pass
16676,9,95,99,Fail,Pass
86720,3,41,31,Pass,Fail
48519,2,99,58,Pass,Pass
53132,3,59,45,Fail,Fail
67660,2,97,54,Fail,Pass
16126,10,41,48,Pass,Pass
30413,3,88,57,Fail,Pass
28167,10,55,67,Pass,Pass
13260,10,89,65,Pass,Pass
28974,7,62,67,Pass,Pass
95594,2,52,50,Pass,Pass
25181,8,88,49,Fail,Pass
12888,8,44,95,Pass,Pass
85326,6,56,48,Fail,Pass
30730,2,59,78,Pass,Pass
92294,7,84,89,Pass,Pass
68162,2,76,90,Pass,Pass
89891,2,96,59,Pass,Pass
94286,5,71,69,Pass,Pass
81378,7,65,71,Pass,Pass
99139,1,52,89,Pass,Pass
31225,4,70,42,Fail,Pass
95929,2,92,30,Fail,Fail
44407,4,60,78,Pass,Pass
28662,3,87,31,Pass,Pass
96466,5,99,89,Fail,Pass
52379,3,48,58,Fail,Fail
76638,6,68,87,Pass,Pass
93551,7,80,30,Pass,Pass
17703,1,65,46,Pass,Fail
22873,10,45,82,Pass,Pass
59217,10,59,55,Fail,Pass
60319,5,55,77,Pass,Pass
23836,5,75,99,Pass,Pass
59456,3,66,39,Fail,Fail
99750,9,48,81,Fail,Pass
91018,4,74,44,Pass,Pass
46436,2,42,51,Fail,Fail
59905,10,67,64,Fail,Pass
73375,4,78,35,Pass,Pass
20311,1,51,69,Pass,Pass
99500,1,44,86,Pass,Pass
84230,6,66,70,Pass,Pass
35987,8,69,44,Fail,Pass
98267,5,52,49,Fail,Pass
64057,4,85,30,Fail,Pass
19185,7,42,67,Pass,Pass
15284,6,93,66,Fail,Pass
43720,5,68,77,Fail,Pass
21260,3,65,83,Pass,Pass
18680,8,87,91,Fail,Pass
41045,8,83,73,Pass,Pass
44329,3,99,75,Fail,Pass
26531,5,80,35,Pass,Pass
52089,5,96,39,Fail,Pass
55579,4,65,31,Fail,Fail
93766,1,58,64,Pass,Pass
80625,1,100,62,Pass,Pass
83014,4,51,64,Pass,Pass
68707,1,79,90,Pass,Pass
78051,1,59,82,Fail,Pass
59792,3,45,58,Fail,Fail
15839,7,95,31,Pass,Pass
39843,1,94,98,Fail,Pass
92384,1,91,96,Pass,Pass
25549,4,90,64,Pass,Pass
93728,10,77,91,Pass,Pass
63676,2,62,52,Pass,Pass
29334,2,68,40,Fail,Fail
94769,1,81,80,Pass,Pass
61281,3,79,85,Fail,Pass
66873,1,100,82,Fail,Pass
48124,10,66,99,Pass,Pass
22043,1,48,91,Pass,Pass
54062,10,62,75,Fail,Pass
83961,4,73,56,Fail,Pass
89446,1,87,70,Fail,Pass
63568,4,64,96,Pass,Pass
67796,1,93,76,Pass,Pass
53262,3,93,49,Fail,Pass
19238,5,96,79,Pass,Pass
21494,5,67,83,Fail,Pass
58775,6,52,95,Fail,Pass
40837,5,70,58,Fail,Pass
73391,10,80,62,Fail,Pass
65953,3,88,53,Fail,Pass
50615,1,70,38,Pass,Fail
74200,5,71,89,Fail,Pass
63048,6,49,87,Pass,Pass
88040,9,83,34,Pass,Pass
56333,8,42,47,Fail,Pass
42316,5,94,62,Pass,Pass
27378,9,45,39,Fail,Pass
22794,2,44,53,Fail,Fail
73467,1,43,79,Pass,Pass
16312,10,62,45,Pass,Pass
43525,2,54,56,Pass,Pass
54112,3,42,38,Pass,Fail
88876,2,45,73,Pass,Pass
73359,5,90,67,Fail,Pass
48315,3,51,63,Fail,Pass
95935,2,78,32,Fail,Fail
83451,6,57,74,Pass,Pass
15060,3,75,86,Pass,Pass
22404,4,66,35,Fail,Fail
19165,7,73,64,Fail,Pass
60835,8,69,94,Pass,Pass
73561,8,40,100,Pass,Pass
94517,1,80,79,Fail,Pass
13032,7,81,80,Pass,Pass
87081,7,54,38,Pass,Pass
61240,1,100,53,Fail,Pass
36432,9,82,44,Fail,Pass
60099,7,45,88,Pass,Pass
89187,8,59,79,Fail,Pass
54894,7,92,66,Fail,Pass
20857,6,64,43,Pass,Pass
63920,9,98,66,Pass,Pass
14661,5,55,60,Pass,Pass
70439,1,95,54,Fail,Pass
31849,5,58,77,Pass,Pass
26019,5,57,100,Fail,Pass
39209,3,44,37,Pass,Fail
80505,1,43,63,Pass,Fail
78467,6,58,66,Fail,Pass
37242,9,83,92,Fail,Pass
46794,2,97,48,Pass,Pass
71767,9,45,72,Pass,Pass
37506,8,76,87,Fail,Pass
11042,1,91,61,Pass,Pass
11175,4,41,40,Pass,Pass
56275,1,51,49,Pass,Fail
14704,2,40,99,Fail,Pass
96724,10,78,84,Fail,Pass
34656,8,79,41,Fail,Pass
20889,6,44,89,Pass,Pass
99698,3,57,83,Fail,Pass
66664,10,64,73,Fail,Pass
55020,3,56,54,Pass,Pass
79879,7,71,60,Pass,Pass
45040,1,55,62,Pass,Pass
56653,2,51,94,Fail,Pass
70286,8,50,77,Pass,Pass
34934,1,93,84,Pass,Pass
78406,6,94,72,Fail,Pass
47677,2,51,69,Fail,Fail
16088,4,56,68,Fail,Pass
84863,1,62,54,Pass,Pass
72529,5,52,65,Fail,Pass
34074,7,53,84,Pass,Pass
31961,8,77,58,Fail,Pass
92283,5,70,79,Pass,Pass
37914,9,51,35,Fail,Pass
36093,5,56,56,Fail,Pass
78515,5,95,62,Fail,Pass
61056,5,95,79,Fail,Pass
17102,1,79,85,Pass,Pass
51467,10,86,45,Fail,Pass
91201,2,56,47,Pass,Pass
19968,8,56,72,Fail,Pass
19702,6,82,74,Pass,Pass
69306,6,42,87,Fail,Pass
53362,2,57,53,Pass,Pass
37284,10,86,84,Pass,Pass
47555,10,70,35,Fail,Pass
48329,4,62,71,Pass,Pass
22731,8,43,66,Fail,Pass
52526,6,68,42,Pass,Pass
37174,7,93,45,Fail,Pass
13886,7,43,93,Pass,Pass
48371,9,60,87,Fail,Pass
44167,3,94,71,Pass,Pass
